Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Nitrosospira,"Nitrosolobus, Nitrosovibrio",Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,na,pos,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Butyrivibrio_2,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Ca_Brocadia,,Bacteria,Planctomycetes,Brocadiae,Brocadiales,Brocadiaceae,pos,pos,na,pos,pos,pos,na,neg,na,na,na,na,pos,pos,pos,na,na,na,na,na,na,na,neg,pos,neg,na,na,na,na,na,na,na
g__Nitrobacter,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,neg,na,pos,na,neg,na,pos,na,na,na,neg,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na
g__Ca_Bipolaricaulis,,Bacteria,Ca Bipolaricaulota,Ca Bipolaricaulia,Ca Bipolaricaulales,Ca Bipolaricaulaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Methanobrevibacter,*M. smithii*(was formerly *Methanobacterium ruminantium*),Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,neg,na,var,na,na,na,na
g__Methanosphaerula,*Candidatus* Methanosphaerula,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na,na
g__Methanomassiliicoccus,,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na
g__Dethiobacter,,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na
g__Cryptanaerobacter,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Cryobacterium,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Curvibacter,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Crenothrix,,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na
g__Diaminobutyricimonas,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Defluviitalea,,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Desulforhabdus,,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na
g__Dehalobacterium,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na
g__Desulfococcus,,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na
g__Desulfurispora,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
g__midas_g_6,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_7,ML1228J-1(MiDAS 2.0),Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_12,KD1-22(MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_13,B55_F(part of genus B55_F in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,D8A-2,midas_f_13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_16,G35_D8(part of genus G35_D8 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_19,SHA-94(MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_20,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_31,K2-30-37(part of genus K2-30-37 in MiDAS 2.0),Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,midas_f_31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Methanothrix,*Methanosaeta*(MiDAS 2.0),Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,pos,na,na,na,pos,na,na,na,na
g__midas_g_43,A55_D21(part of genus A55_D21 in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_33,188up(MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_52,K2-78(MiDAS 2.0),Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_55,HS9-30(MiDAS 2.0),Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,midas_f_55,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_56,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_57,MNG7(part of genus MNG7 in MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_59,M05-Pitesti(part of genus M05-Pitesti in MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_65,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_67,Skagenf80(part of genus Skagenf80 in MiDAS 2.0),Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_70,QEEB1BB10(MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_72,WCHB1-50(part of genus WCHB1-50 in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_72,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_75,JG35-K1-AG5(MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_88,A55_D21(part of genus A55_D21 in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_98,35-7A(MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_99,*Fodinibacter*(MiDAS 2.0),Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_105,*Candidatus* Defluviifilum(part of genus *Candidatus* Defluviifilum in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_110,009E01(MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_116,B63(part of genus B63 in MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_118,CD04(part of genus CD04 in MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,C2U,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_119,B3-65(part of genus B3-65 in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_119,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_120,P58(part of genus P58 in MiDAS 2.0),Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_131,030B12(MiDAS 2.0),Bacteria,Verrucomicrobia,Verrucomicrobiae,LD1-PB3,midas_f_131,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_142,CYCU-0281(part of genus CYCU-0281 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_145,A55_D21(part of genus A55_D21 in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Legionella,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na
g__midas_g_153,CD04(part of genus CD04 in MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_156,T78(part of genus T78 in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_169,*Candidatus* Defluviifilum(part of genus *Candidatus* Defluviifilum in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_179,oca15(MiDAS 2.0),Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,PHOS-HE36,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Nitrotoga,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,na,na,pos,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_184,RB349(MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_184,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Syntrophus,,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,neg,na,neg,na,neg,na,na,na,na
g__midas_g_81,spb280(MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_225,PHOS-HE28(part of genus PHOS-HE28 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_268,CCM19a(MiDAS 2.0),Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_321,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_351,CYCU-0281(part of genus CYCU-0281 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_363,Skagenf80(part of genus Skagenf80 in MiDAS 2.0),Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_384,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_385,PHOS-HE28(part of genus PHOS-HE28 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_395,C1711WL(MiDAS 2.0),Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_410,TSI14(MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_433,SBRFL126(MiDAS 2.0),Bacteria,Acidobacteria,Subgroup 6,midas_o_352,midas_f_352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_434,PHOS-HE28(part of genus PHOS-HE28 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_467,T78(part of genus T78 in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_473,LF_BF07(MiDAS 2.0),Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,midas_f_269,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_497,B1-K2-141(MiDAS 2.0),Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_502,T1-5(MiDAS 2.0),Bacteria,Acidobacteria,Blastocatellia Subgroup 4,DS-100,midas_f_502,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_521,A55_D21(part of genus A55_D21 in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_526,G35_D8(part of genus G35_D8 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_534,FukuS110(MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_554,MRE50b23(part of genus MRE50b23 in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,D8A-2,midas_f_13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_664,B55_F(part of genus B55_F in MiDAS 2.0),Bacteria,Firmicutes,Clostridia,D8A-2,midas_f_13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Gracilibacter,,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Paludibaculum,,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae Subgroup 3,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
g__midas_g_731,mle1-48(part of genus mle1-48 in MiDAS 2.0),Bacteria,Chloroflexi,OLB14,midas_o_731,midas_f_731,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_32,*Terrimonas*(MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_746,M05-Pitesti(part of genus M05-Pitesti in MiDAS 2.0),Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_764,Skagen138(MiDAS 2.0),Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_788,QEDR3BF09(part of genus QEDR3BF09 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_789,T78(part of genus T78 in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_843,PHOS-HE28(part of genus PHOS-HE28 in MiDAS 2.0),Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_290,ML817J-10(part of genus ML817J-10 in MiDAS 2.0),Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,midas_f_2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Leptonema,,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_957,rJ14(MiDAS 2.0),Bacteria,Actinobacteria,Actinobacteria,PeM15,midas_f_5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_977,Skagenf80(part of genus Skagenf80 in MiDAS 2.0),Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Hahella,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__midas_g_990,mle1-27(part of genus mle1-27 in MiDAS 2.0),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,mle1-27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_992,H106(MiDAS 2.0),Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Ercella,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
g__Ilumatobacter,,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_1065,ML817J-10(part of genus ML817J-10 in MiDAS 2.0),Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,midas_f_2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_1083,*Candidatus* Defluviifilum(part of genus *Candidatus* Defluviifilum in MiDAS 2.0),Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_1096,Btb7_22(MiDAS 2.0),Bacteria,Acidobacteria,Subgroup 6,midas_o_352,midas_f_1096,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
