ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV337,s__midas_s_635,g__midas_g_635,na,na,na,na,na
ASV258,s__midas_s_108,g__midas_g_108,na,na,na,na,na
ASV2364,,,na,na,na,na,na
ASV1167,,g__Acidovorax,na,na,na,na,neg
ASV977,,g__Rhodoferax,na,na,neg,na,neg
ASV161,s__midas_s_473,g__midas_g_473,na,na,na,na,na
ASV1070,s__midas_s_2160,g__Flavobacterium,na,na,na,na,var
ASV498,,,na,na,na,na,na
ASV851,s__midas_s_679,g__midas_g_679,na,na,na,na,na
ASV782,,g__Arcobacter,na,na,na,na,neg
ASV436,s__midas_s_270,g__Ferruginibacter,na,na,na,na,neg
ASV2126,,g__Rhodoferax,na,na,neg,na,neg
ASV593,,,na,na,na,na,na
ASV1023,,,na,na,na,na,na
ASV1259,,g__Novosphingobium,na,na,na,na,neg
ASV374,,g__AAP99,na,na,na,na,na
ASV6822,s__midas_s_49706,g__Neisseria,na,na,na,na,na
ASV138,s__midas_s_398,g__midas_g_31,na,na,na,na,na
ASV3457,,g__Paracoccus,na,na,neg,na,neg
ASV653,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV900,s__Eubacterium_rectale,g__Agathobacter,na,na,na,na,na
ASV377,s__midas_s_391,g__midas_g_391,na,na,na,na,na
ASV577,s__midas_s_1414,g__midas_g_169,na,na,na,na,na
ASV609,,,na,na,na,na,na
ASV503,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV933,s__midas_s_893,g__Blastocatella,na,na,na,na,var
ASV955,s__midas_s_463,g__Haliangium,na,na,na,na,neg
ASV2595,s__midas_s_2533,g__Gemmatimonas,na,na,na,na,na
ASV1073,,g__Paracoccus,na,na,neg,na,neg
ASV871,s__Eubacterium_rectale,g__Agathobacter,na,na,na,na,na
ASV1403,s__midas_s_2140,g__Devosia,na,na,na,na,na
ASV104,s__midas_s_550,g__midas_g_550,na,na,na,na,na
ASV1414,,g__Denitratisoma,na,na,na,na,na
ASV524,s__midas_s_645,g__Novosphingobium,na,na,na,na,neg
ASV2134,s__midas_s_1119,g__Nannocystis,na,na,na,na,neg
newASV4,s__midas_s_96,g__Dechloromonas,na,na,var,neg,neg
ASV2002,,,na,na,na,na,na
ASV818,,g__Arcobacter,na,na,na,na,neg
ASV2038,s__midas_s_321,g__midas_g_321,na,na,na,na,na
ASV1119,,g__Stella,na,na,na,na,na
ASV554,s__midas_s_1056,g__midas_g_49,na,na,na,na,na
ASV2340,s__midas_s_1356,g__Thauera,na,na,neg,na,neg
ASV17550,s__midas_s_26245,g__Lacihabitans,na,na,na,na,na
ASV1108,s__midas_s_2271,g__midas_g_1965,na,na,na,na,na
ASV2098,s__midas_s_1416,g__midas_g_1416,na,na,na,na,na
ASV781,s__midas_s_1155,g__Rubellimicrobium,na,na,na,na,na
ASV572,s__midas_s_1473,g__Galbitalea,na,na,na,na,na
ASV1758,s__Ca_Accumulibacter_phosphatis,g__Ca_Accumulibacter,neg,neg,pos,var,neg
newASV19,s__Nitrospira_defluvii,g__Nitrospira,var,pos,neg,neg,neg
ASV251,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV2941,s__midas_s_2771,g__Phaselicystis,na,na,na,na,na
ASV1335,s__midas_s_1291,g__midas_g_1291,na,na,na,na,na
ASV87,s__midas_s_327,g__midas_g_327,na,na,na,na,na
ASV322,s__midas_s_34,g__Romboutsia,na,na,na,na,neg
ASV587,,g__Thiothrix,na,na,na,na,pos
ASV289,s__midas_s_333,g__Aquabacterium,na,na,na,na,na
ASV768,,g__Flavobacterium,na,na,na,na,var
ASV1010,s__Pseudarcobacter_venerupis,g__Pseudarcobacter,na,na,na,na,na
ASV1832,s__midas_s_2081,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV2662,s__midas_s_22743,g__Desulforhopalus,na,na,na,na,na
ASV1251,,,na,na,na,na,na
ASV217,s__midas_s_711,g__Novosphingobium,na,na,na,na,neg
ASV908,s__midas_s_589,g__midas_g_31,na,na,na,na,na
ASV880,s__midas_s_2834,g__Limnohabitans,na,na,na,na,neg
ASV1312,,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,na,na,na,na,na
ASV502,,g__Defluviimonas,na,na,na,na,neg
ASV659,s__midas_s_753,g__midas_g_753,na,na,na,na,na
ASV792,s__midas_s_471,g__Ca_Villigracilis,na,na,na,na,pos
ASV1037,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV1328,s__midas_s_2012,g__Pseudorhodobacter,na,na,na,na,neg
ASV413,s__midas_s_34,g__Romboutsia,na,na,na,na,neg
ASV946,s__midas_s_937,g__midas_g_225,na,na,na,na,na
ASV1097,s__midas_s_1365,g__Sphingorhabdus,na,na,na,na,na
ASV3623,s__midas_s_3564,g__midas_g_422,na,na,na,na,na
ASV8762,s__Pannonibacter_phragmitetus,g__Pannonibacter,na,na,na,na,na
ASV951,s__midas_s_1647,g__Rhodobacter,na,na,na,na,neg
ASV241,,g__Tetrasphaera,neg,neg,pos,neg,var
ASV2044,,g__Thauera,na,na,neg,na,neg
ASV89,s__midas_s_198,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV727,s__midas_s_3155,g__Aestuariimicrobium,na,na,na,na,na
ASV1310,,g__Thauera,na,na,neg,na,neg
ASV308,,g__Romboutsia,na,na,na,na,neg
ASV4368,,g__midas_g_4042,na,na,na,na,na
ASV434,,g__JGI_0001001-H03,na,na,na,na,na
ASV606,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV1504,s__midas_s_1303,g__Pedomicrobium,na,na,na,na,neg
ASV491,s__midas_s_739,g__midas_g_739,na,na,na,na,na
ASV255,,g__Rhodobacter,na,na,na,na,neg
ASV2101,,,na,na,na,na,na
ASV2313,s__midas_s_3126,g__Sulfuritalea,na,na,na,na,neg
ASV1793,s__Stella_humosa,g__Stella,na,na,na,na,na
ASV2857,s__midas_s_1520,g__Ferruginibacter,na,na,na,na,neg
ASV588,s__midas_s_2612,g__Hyphomicrobium,na,na,na,na,neg
ASV1272,s__midas_s_3123,g__Anaerolinea,na,na,na,na,pos
ASV397,s__midas_s_701,g__Propioniciclava,na,na,na,na,neg
ASV746,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV940,s__midas_s_1949,g__Novosphingobium,na,na,na,na,neg
ASV824,s__midas_s_1472,g__OLB12,na,na,na,na,na
ASV850,,g__Devosia,na,na,na,na,na
ASV6800,s__midas_s_18579,g__Niabella,na,na,na,na,na
ASV629,s__midas_s_272,g__Ca_Caldatribacterium,na,na,na,na,na
ASV1091,,,na,na,na,na,na
ASV2095,s__midas_s_6902,g__Sphingobium,na,na,na,na,na
ASV321,s__midas_s_903,g__midas_g_903,na,na,na,na,na
ASV2004,s__midas_s_1096,g__midas_g_1096,na,na,na,na,na
ASV216,s__midas_s_80,g__midas_g_80,na,na,na,na,na
ASV709,,g__midas_g_746,na,na,na,na,na
ASV245,s__Intestinibacter_bartlettii,g__Intestinibacter,na,na,na,na,var
ASV752,,g__Flavobacterium,na,na,na,na,var
ASV567,,g__Rhodoferax,na,na,neg,na,neg
ASV291,,g__midas_g_59,na,na,na,na,na
ASV888,s__midas_s_788,g__midas_g_788,na,na,na,na,na
ASV514,s__midas_s_2000,g__Quadrisphaera,na,na,na,na,na
ASV744,s__midas_s_1096,g__midas_g_1096,na,na,na,na,na
ASV759,s__midas_s_59116,g__midas_g_41102,na,na,na,na,na
ASV518,s__midas_s_548,g__Terrimonas,na,na,na,na,neg
ASV385,s__midas_s_334,g__midas_g_120,na,na,na,na,na
ASV1524,s__midas_s_1119,g__Nannocystis,na,na,na,na,neg
ASV1850,s__midas_s_1063,g__midas_g_1063,na,na,na,na,na
ASV464,s__midas_s_1091,g__OLB13,na,na,na,na,na
ASV717,,g__Romboutsia,na,na,na,na,neg
ASV1480,s__midas_s_1718,g__midas_g_547,na,na,na,na,na
ASV4637,s__midas_s_4042,g__midas_g_4042,na,na,na,na,na
ASV2026,,,na,na,na,na,na
ASV1212,s__midas_s_2693,g__Brevundimonas,na,na,na,na,na
ASV1380,s__midas_s_2154,g__midas_g_2154,na,na,na,na,na
ASV619,s__midas_s_1257,g__Hyphomicrobium,na,na,na,na,neg
ASV2173,s__midas_s_4686,g__midas_g_4686,na,na,na,na,na
ASV1743,s__midas_s_6162,g__TM7a,na,na,na,na,na
ASV613,s__midas_s_4272,g__midas_g_436,na,na,na,na,na
ASV758,,g__Mesorhizobium,na,na,na,na,na
ASV487,s__midas_s_363,g__midas_g_363,na,na,na,na,na
newASV10,,g__Mesorhizobium,na,na,na,na,na
ASV931,,g__Ahniella,na,na,na,na,na
ASV916,s__midas_s_962,g__midas_g_962,na,na,na,na,na
ASV1364,s__midas_s_13592,g__midas_g_13592,na,na,na,na,na
ASV1017,s__midas_s_1460,g__Ca_Sarcinithrix,na,na,neg,neg,pos
ASV105806,s__midas_s_100,g__midas_g_100,na,na,na,na,na
ASV411,,g__Rhodoferax,na,na,neg,na,neg
ASV1319,s__midas_s_611,g__midas_g_611,na,na,na,na,na
ASV386,s__midas_s_984,g__Devosia,na,na,na,na,na
ASV1036,,g__midas_g_81,na,na,na,na,na
ASV2206,s__midas_s_1327,g__midas_g_1194,na,na,na,na,na
ASV5503,s__midas_s_54425,g__Desulfobacterium_catecholicum_group,na,na,na,na,na
ASV1050,s__midas_s_3483,g__Jatrophihabitans,na,na,na,na,na
ASV1267,s__midas_s_1838,g__midas_g_1838,na,na,na,na,na
ASV456,,g__midas_g_273,na,na,na,na,na
ASV1538,s__midas_s_1334,g__midas_g_1334,na,na,na,na,na
ASV541,,,na,na,na,na,na
ASV1454,s__midas_s_970,g__Phaeodactylibacter,na,na,na,na,na
ASV109,s__midas_s_146,g__Streptococcus,na,na,na,na,var
ASV667,,g__Pedomicrobium,na,na,na,na,neg
ASV360,s__midas_s_407,g__midas_g_343,na,na,na,na,na
ASV749,s__midas_s_363,g__midas_g_363,na,na,na,na,na
ASV1307,,g__Acidovorax,na,na,na,na,neg
ASV394,s__midas_s_2534,g__Dechloromonas,na,na,var,neg,neg
ASV2318,s__Ca_Accumulibacter_aalborgensis,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV382,,g__Romboutsia,na,na,na,na,neg
ASV1171,s__midas_s_3186,g__midas_g_3186,na,na,na,na,na
ASV1358,s__midas_s_2716,g__Ca_Obscuribacter,na,na,pos,na,na
ASV1571,s__midas_s_1319,g__midas_g_1319,na,na,na,na,na
ASV942,s__midas_s_1386,g__Leptospira,na,na,na,na,na
ASV525,,g__Hyphomicrobium,na,na,na,na,neg
ASV672,s__midas_s_2020,g__midas_g_2020,na,na,na,na,na
ASV2009,s__Comamonas_denitrificans,g__Comamonas,na,na,na,na,na
ASV372,s__midas_s_598,g__Hyphomicrobium,na,na,na,na,neg
ASV1150,s__Fusicatenibacter_saccharivorans,g__Fusicatenibacter,na,na,na,na,na
ASV1658,,g__midas_g_1226,na,na,na,na,na
ASV1482,s__midas_s_5684,g__Novosphingobium,na,na,na,na,neg
ASV944,s__midas_s_28733,g__midas_g_1422,na,na,na,na,na
ASV552,s__midas_s_952,g__Iamia,na,na,na,na,neg
ASV1114,,g__midas_g_877,na,na,na,na,na
ASV196,s__midas_s_413,g__Tessaracoccus,na,na,na,na,neg
ASV272,s__Intestinibacter_bartlettii,g__Intestinibacter,na,na,na,na,var
ASV1498,,g__Rhodoferax,na,na,neg,na,neg
ASV816,s__midas_s_380,g__midas_g_380,na,na,na,na,na
ASV2353,s__midas_s_2913,g__Pajaroellobacter,na,na,na,na,na
ASV333,s__midas_s_752,g__Propioniciclava,na,na,na,na,neg
ASV967,s__midas_s_884,g__Leptothrix,na,na,na,na,var
ASV980,s__midas_s_5657,g__midas_g_5657,na,na,na,na,na
ASV683,s__midas_s_1478,g__Alysiella,na,na,na,na,pos
ASV1208,s__midas_s_938,g__Nannocystis,na,na,na,na,neg
ASV259,s__midas_s_1188,g__Stenotrophobacter,na,na,na,na,na
ASV997,s__Ruminococcus_faecis,g__Ruminococcus_torques_group,na,na,na,na,na
ASV1462,,g__Runella,na,na,na,na,na
ASV1236,s__Fusicatenibacter_saccharivorans,g__Fusicatenibacter,na,na,na,na,na
ASV2863,,,na,na,na,na,na
ASV2059,s__midas_s_1432,g__midas_g_1432,na,na,na,na,na
ASV630,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV3575,s__midas_s_2594,g__midas_g_1324,na,na,na,na,na
ASV3561,s__midas_s_2176,g__midas_g_535,na,na,na,na,na
ASV335,s__midas_s_8033,g__midas_g_8033,na,na,na,na,na
ASV2048,s__midas_s_2816,g__midas_g_424,na,na,na,na,na
ASV765,,g__Simplicispira,na,na,na,na,neg
ASV545,s__midas_s_1460,g__Ca_Sarcinithrix,na,na,neg,neg,pos
ASV250,s__midas_s_399,g__midas_g_399,na,na,na,na,na
ASV1007,s__midas_s_1412,g__midas_g_1412,na,na,na,na,na
ASV1450,,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV562,s__midas_s_1096,g__midas_g_1096,na,na,na,na,na
ASV853,,g__Streptococcus,na,na,na,na,var
ASV953,s__Thiothrix_unzii,g__Thiothrix,na,na,na,na,pos
ASV641,,g__Sulfuritalea,na,na,na,na,neg
ASV971,s__midas_s_1291,g__midas_g_1291,na,na,na,na,na
ASV875,s__Tetrasphaera_australiensis,g__Tetrasphaera,neg,neg,pos,neg,var
ASV343,s__midas_s_89,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV665,s__Lactococcus_raffinolactis,g__Lactococcus,na,na,na,na,var
ASV1028,s__midas_s_1270,g__Pedomicrobium,na,na,na,na,neg
ASV895,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV1659,,g__Caenimonas,na,na,na,na,na
ASV1065,s__midas_s_1310,g__midas_g_1057,na,na,na,na,na
ASV1396,,g__Ca_Villigracilis,na,na,na,na,pos
ASV2441,s__midas_s_1421,g__midas_g_1421,na,na,na,na,na
ASV1445,s__midas_s_785,g__Christensenellaceae_R-7_group,na,na,na,na,na
ASV810,s__Ruminococcus_bromii,g__Ruminococcus,na,na,na,na,na
ASV1056,s__Anaerostipes_hadrus,g__Anaerostipes,na,na,na,na,var
ASV2803,s__midas_s_994,g__Runella,na,na,na,na,na
ASV1014,,g__Holdemanella,na,na,na,na,var
ASV256,s__midas_s_544,g__Tetrasphaera,neg,neg,pos,neg,var
ASV1630,s__midas_s_535,g__midas_g_535,na,na,na,na,na
ASV597,s__midas_s_99,g__midas_g_99,na,na,na,na,na
ASV1413,s__midas_s_3123,g__Anaerolinea,na,na,na,na,pos
ASV2013,,g__Pseudoxanthomonas,na,na,na,na,na
ASV2127,s__midas_s_2156,g__midas_g_667,na,na,na,na,na
ASV775,s__midas_s_1433,g__midas_g_843,na,na,na,na,na
ASV1166,,g__Simplicispira,na,na,na,na,neg
ASV230,s__midas_s_260,g__midas_g_164,na,na,na,na,na
newASV16,s__midas_s_207,g__midas_g_207,na,na,na,na,na
ASV1016,s__midas_s_22449,g__AAP99,na,na,na,na,na
ASV2481,s__midas_s_2561,g__midas_g_1498,na,na,na,na,na
ASV936,,g__Flavobacterium,na,na,na,na,var
ASV1616,s__midas_s_562,g__midas_g_562,na,na,na,na,na
ASV1122,,g__Shinella,na,na,na,na,na
ASV186,s__midas_s_561,g__midas_g_343,na,na,na,na,na
ASV623,,g__Pedomicrobium,na,na,na,na,neg
ASV1907,s__midas_s_12243,g__midas_g_12243,na,na,na,na,na
ASV523,s__midas_s_5897,g__Denitratisoma,na,na,na,na,na
ASV1038,s__midas_s_10554,g__midas_g_10554,na,na,na,na,na
ASV390,s__midas_s_65,g__midas_g_65,na,na,na,na,na
ASV1213,s__midas_s_1278,g__midas_g_746,na,na,na,na,na
ASV6009,s__midas_s_4353,g__Prosthecomicrobium,na,na,na,na,na
ASV934,s__midas_s_1070,g__midas_g_641,na,na,na,na,na
ASV1514,,g__Afipia,na,na,na,na,na
ASV798,s__midas_s_1262,g__Desulfobulbus,na,na,na,na,na
ASV3014,,g__midas_g_81,na,na,na,na,na
ASV2379,s__midas_s_3374,g__midas_g_3374,na,na,na,na,na
ASV996,s__midas_s_843,g__midas_g_843,na,na,na,na,na
ASV1945,s__midas_s_2294,g__midas_g_1422,na,na,na,na,na
ASV2131,s__midas_s_11367,g__midas_g_11367,na,na,na,na,na
ASV4063,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV534,s__midas_s_926,g__Nocardioides,na,na,na,na,var
ASV840,s__midas_s_1075,g__Lautropia,na,na,na,na,neg
ASV896,s__midas_s_188,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV6480,s__midas_s_22369,g__midas_g_22369,na,na,na,na,na
ASV705,,g__Ferruginibacter,na,na,na,na,neg
ASV1409,,,na,na,na,na,na
ASV1298,s__midas_s_1424,g__midas_g_1424,na,na,na,na,na
ASV713,s__midas_s_2177,g__Propioniciclava,na,na,na,na,neg
ASV361,s__midas_s_5762,g__Dechloromonas,na,na,var,neg,neg
ASV1588,s__midas_s_172,g__Haliangium,na,na,na,na,neg
ASV324,s__midas_s_553,g__Ca_Amarolinea,na,na,neg,na,pos
ASV6236,s__midas_s_7280,g__midas_g_7280,na,na,na,na,na
ASV4378,,g__midas_g_1853,na,na,na,na,na
ASV868,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV2043,s__midas_s_1061,g__midas_g_1061,na,na,na,na,na
ASV2427,s__midas_s_1327,g__midas_g_1194,na,na,na,na,na
ASV842,s__midas_s_1400,g__midas_g_1400,na,na,na,na,na
ASV974,s__midas_s_348,g__Subdoligranulum,na,na,na,na,neg
ASV412,s__midas_s_526,g__Lentimicrobium,na,na,na,na,na
ASV1095,s__midas_s_945,g__midas_g_945,na,na,na,na,na
ASV3281,s__midas_s_1356,g__Thauera,na,na,neg,na,neg
ASV1207,s__midas_s_923,g__midas_g_142,na,na,na,na,na
ASV284,s__midas_s_334,g__midas_g_120,na,na,na,na,na
ASV945,s__midas_s_487,g__midas_g_487,na,na,na,na,na
ASV103,,,na,na,na,na,na
ASV526,,g__Sulfuritalea,na,na,na,na,neg
ASV1517,s__midas_s_458,g__Haliangium,na,na,na,na,neg
ASV649,s__midas_s_1533,g__midas_g_1533,na,na,na,na,na
ASV2046,s__midas_s_1386,g__Leptospira,na,na,na,na,na
ASV3786,,g__Haliangium,na,na,na,na,neg
ASV380,s__midas_s_116,g__Ahniella,na,na,na,na,na
ASV1115,s__midas_s_1425,g__Novosphingobium,na,na,na,na,neg
ASV345,s__midas_s_338,g__Aestuariimicrobium,na,na,na,na,na
ASV368,s__Turicibacter_sanguinis,g__Turicibacter,na,na,na,na,pos
ASV318,s__midas_s_88,g__midas_g_88,na,na,na,na,na
ASV673,s__Rhodoferax_saidenbachensis,g__Rhodoferax,na,na,neg,na,neg
ASV16113,s__midas_s_84991,g__midas_g_33011,na,na,na,na,na
ASV357,s__midas_s_612,g__midas_g_534,na,na,na,na,na
ASV440,,,na,na,na,na,na
ASV278,s__midas_s_695,g__Propionicicella,na,na,na,na,na
ASV848,s__midas_s_142,g__midas_g_142,na,na,na,na,na
ASV4169,s__midas_s_38223,g__Rubellimicrobium,na,na,na,na,na
ASV1640,s__midas_s_6144,g__Novosphingobium,na,na,na,na,neg
ASV1757,s__midas_s_1441,g__midas_g_1441,na,na,na,na,na
ASV126,s__midas_s_1151,g__Tessaracoccus,na,na,na,na,neg
ASV354,,g__Sulfuritalea,na,na,na,na,neg
ASV811,s__midas_s_2171,g__midas_g_2171,na,na,na,na,na
ASV129,,,na,na,na,na,na
ASV1260,s__Fusicatenibacter_saccharivorans,g__Fusicatenibacter,na,na,na,na,na
ASV219,s__Micropruina_glycogenica,g__Micropruina,na,na,neg,pos,neg
ASV1020,s__midas_s_656,g__Acidibacter,na,na,na,na,na
ASV287,s__midas_s_584,g__midas_g_120,na,na,na,na,na
ASV2201,,,na,na,na,na,na
ASV11202,s__midas_s_7986,g__Lacihabitans,na,na,na,na,na
ASV857,s__midas_s_264,g__midas_g_33,na,na,na,na,na
ASV3028,s__midas_s_406,g__Stella,na,na,na,na,na
ASV511,s__midas_s_526,g__Lentimicrobium,na,na,na,na,na
ASV827,,g__Paracoccus,na,na,neg,na,neg
ASV192,s__Ca_Propionivibrio_aalborgensis,g__Propionivibrio,neg,neg,neg,pos,neg
ASV4133,,g__Blastocatella,na,na,na,na,var
ASV1420,,g__Pseudarcobacter,na,na,na,na,na
ASV533,s__midas_s_625,g__Nocardioides,na,na,na,na,var
ASV2492,s__midas_s_3786,g__Labrys,na,na,na,na,na
ASV238,,g__Zoogloea,na,na,na,na,neg
ASV563,,g__Romboutsia,na,na,na,na,neg
ASV446,,g__Limnohabitans,na,na,na,na,neg
ASV1405,,g__Paracoccus,na,na,neg,na,neg
ASV7710,,g__Rhodovastum,na,na,na,na,na
ASV1052,s__midas_s_10785,g__midas_g_10162,na,na,na,na,na
ASV835,,,na,na,na,na,na
ASV232,s__midas_s_284,g__Ellin6067,na,na,na,na,na
ASV846,s__midas_s_1177,g__Tessaracoccus,na,na,na,na,neg
ASV973,s__midas_s_1363,g__midas_g_1363,na,na,na,na,na
ASV2689,s__midas_s_2109,g__midas_g_627,na,na,na,na,na
ASV884,s__midas_s_884,g__Leptothrix,na,na,na,na,var
ASV1434,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV112170,,g__Mesorhizobium,na,na,na,na,na
ASV1865,,g__Blautia,na,na,na,na,var
ASV1228,s__midas_s_2018,g__Devosia,na,na,na,na,na
ASV3280,,g__Sphingobium,na,na,na,na,na
ASV22013,s__midas_s_26245,g__Lacihabitans,na,na,na,na,na
ASV636,s__midas_s_690,g__Amaricoccus,na,na,neg,neg,neg
ASV1313,s__midas_s_2734,g__Polymorphobacter,na,na,na,na,na
ASV697,s__midas_s_1263,g__midas_g_1083,na,na,na,na,na
ASV349,s__midas_s_366,g__midas_g_366,na,na,na,na,na
ASV233,s__midas_s_441,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV1221,,g__midas_g_251,na,na,na,na,na
ASV1086,s__midas_s_1951,g__midas_g_1951,na,na,na,na,na
ASV1230,s__midas_s_10902,g__midas_g_10902,na,na,na,na,na
ASV892,s__midas_s_1718,g__midas_g_547,na,na,na,na,na
ASV370,s__midas_s_957,g__midas_g_957,na,na,na,na,na
ASV1026,s__Simplicispira_piscis,g__Simplicispira,na,na,na,na,neg
ASV2286,s__midas_s_2759,g__midas_g_2759,na,na,na,na,na
ASV1606,s__midas_s_5742,g__midas_g_4871,na,na,na,na,na
ASV2231,s__midas_s_867,g__midas_g_867,na,na,na,na,na
ASV3526,s__midas_s_6091,g__Nitrosomonas,pos,neg,na,na,neg
ASV1131,s__midas_s_2020,g__midas_g_2020,na,na,na,na,na
ASV679,s__midas_s_3965,g__Cereibacter,na,na,na,na,na
ASV2292,s__midas_s_2053,g__Sandaracinus,na,na,na,na,na
ASV1266,,g__Sulfuritalea,na,na,na,na,neg
ASV1518,,,na,na,na,na,na
ASV1135,s__midas_s_268,g__midas_g_268,na,na,na,na,na
ASV1022,s__midas_s_385,g__midas_g_385,na,na,na,na,na
ASV2548,s__Gordonia_defluvii,g__Gordonia,na,na,na,na,pos
ASV745,,g__SH-PL14,na,na,na,na,na
ASV2630,s__midas_s_1195,g__midas_g_1195,na,na,na,na,na
ASV915,s__midas_s_31440,g__Ellin6067,na,na,na,na,na
ASV1290,s__midas_s_1374,g__Lewinella,na,na,na,na,pos
ASV200,,g__Ferruginibacter,na,na,na,na,neg
ASV480,,g__Tetrasphaera,neg,neg,pos,neg,var
ASV981,,g__Flavobacterium,na,na,na,na,var
ASV472,s__midas_s_128,g__Leucobacter,na,na,na,na,neg
ASV1034,s__midas_s_2784,g__midas_g_2784,na,na,na,na,na
ASV1250,s__Thauera_terpenica,g__Thauera,na,na,neg,na,neg
ASV1771,,g__Paracoccus,na,na,neg,na,neg
ASV1205,s__midas_s_457,g__Pirellula,na,na,na,na,na
ASV2262,,g__Acidovorax,na,na,na,na,neg
ASV1570,s__midas_s_1736,g__Afipia,na,na,na,na,na
ASV837,s__midas_s_1607,g__Hyphomicrobium,na,na,na,na,neg
ASV2603,s__midas_s_75555,g__Romboutsia,na,na,na,na,neg
ASV1128,s__midas_s_1268,g__midas_g_1268,na,na,na,na,na
ASV3827,s__Acidovorax_caeni,g__Acidovorax,na,na,na,na,neg
ASV2435,s__midas_s_4486,g__Gemmatimonas,na,na,na,na,na
ASV1124,s__midas_s_1322,g__Ca_Alysiosphaera,na,na,na,na,pos
ASV639,s__midas_s_9060,g__Dechloromonas,na,na,var,neg,neg
ASV2295,s__midas_s_2555,g__midas_g_2555,na,na,na,na,na
ASV1046,s__midas_s_390,g__Terrimonas,na,na,na,na,neg
ASV817,s__midas_s_98,g__midas_g_98,na,na,na,na,na
ASV890,s__midas_s_441,g__Ca_Promineofilum,neg,neg,neg,neg,pos
newASV8,s__midas_s_491,g__midas_g_100,na,na,na,na,na
ASV2468,s__midas_s_5098,g__midas_g_5098,na,na,na,na,na
ASV1162,,g__Dechloromonas,na,na,var,neg,neg
ASV469,s__midas_s_648,g__midas_g_648,na,na,na,na,na
ASV777,s__midas_s_2342,g__midas_g_2342,na,na,na,na,na
ASV1040,s__midas_s_1136,g__Pirellula,na,na,na,na,na
ASV1341,s__midas_s_1374,g__Lewinella,na,na,na,na,pos
ASV21,,,na,na,na,na,na
ASV465,s__midas_s_101,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV603,s__midas_s_184,g__midas_g_184,na,na,na,na,na
ASV1453,s__Uruburuella_suis,g__Uruburuella,na,na,na,na,na
ASV1274,s__midas_s_5125,g__Aquabacterium,na,na,na,na,na
ASV10548,s__midas_s_15079,g__Chryseobacterium,na,na,na,na,var
ASV1987,s__midas_s_4353,g__Prosthecomicrobium,na,na,na,na,na
ASV3161,s__midas_s_5828,g__midas_g_5828,na,na,na,na,na
ASV820,,g__Hydrogenophaga,na,na,na,na,na
ASV1749,s__midas_s_3392,g__Bauldia,na,na,na,na,na
ASV1326,,,na,na,na,na,na
ASV1817,s__midas_s_2027,g__Nannocystis,na,na,na,na,neg
ASV1324,s__midas_s_3347,g__midas_g_1341,na,na,na,na,na
ASV991,,g__Thermomonas,na,na,na,na,neg
ASV872,s__midas_s_3996,g__midas_g_3996,na,na,na,na,na
ASV1625,s__midas_s_649,g__midas_g_422,na,na,na,na,na
ASV899,,,na,na,na,na,na
ASV1492,s__midas_s_1882,g__Crocinitomix,na,na,na,na,var
ASV5739,s__Stella_humosa,g__Stella,na,na,na,na,na
ASV1295,s__midas_s_873,g__Streptococcus,na,na,na,na,var
ASV907,s__midas_s_380,g__midas_g_380,na,na,na,na,na
ASV956,,g__Hyphomicrobium,na,na,na,na,neg
ASV2726,s__midas_s_627,g__midas_g_627,na,na,na,na,na
ASV266,s__midas_s_731,g__midas_g_731,na,na,na,na,na
ASV882,,g__Lactococcus,na,na,na,na,var
ASV675,s__Micropruina_glycogenica,g__Micropruina,na,na,neg,pos,neg
ASV1820,s__midas_s_2004,g__Novosphingobium,na,na,na,na,neg
ASV4357,,g__Runella,na,na,na,na,na
ASV654,s__midas_s_111,g__midas_g_111,na,na,na,na,na
ASV553,s__midas_s_384,g__midas_g_384,na,na,na,na,na
ASV445,s__Intestinibacter_bartlettii,g__Intestinibacter,na,na,na,na,var
ASV1780,s__midas_s_10902,g__midas_g_10902,na,na,na,na,na
ASV1382,s__midas_s_4375,g__midas_g_4375,na,na,na,na,na
ASV2884,,g__Rhodobacter,na,na,na,na,neg
ASV1567,,g__Diaphorobacter,na,na,na,na,na
ASV468,s__midas_s_1433,g__midas_g_843,na,na,na,na,na
